N,P,K,temperature,humidity,ph,rainfall,label
93,11,56,25.51,91.49,6.38,24.49,muskmelon
100,10,45,25.66,89.19,6.63,50.31,watermelon
30,57,49,31.73,92.43,6.95,155.06,papaya
55,68,54,32.88,88.73,6.14,141.06,papaya
11,139,186,20.53,91.66,6.13,112.46,apple
24,26,28,32.39,54.08,6.04,110.6,mango
23,148,219,20.56,86.17,6.71,144.03,apple
12,37,20,23.73,53.06,6.74,82.43,mothbeans
21,43,21,26.36,93.6,6.43,52.19,mungbean
19,63,19,25.66,67.06,6.55,50.99,lentil
45,52,20,27.62,63.01,7.16,70.91,blackgram
21,12,27,26.08,96.58,6.08,156.88,coconut
26,9,41,20.62,90.55,6.63,108.53,pomegranate
102,62,42,27.28,68.87,6.56,165.6,jute
22,9,29,27.97,94.17,5.74,187.2,coconut
27,9,46,21.11,94.41,6.49,120.61,pomegranate
21,119,210,21.7,84.52,6.2,93.25,apple
81,57,16,25.85,67.1,5.92,89.16,maize
39,55,51,34.85,92.49,6.9,139.94,papaya
102,6,50,29.27,91.54,6.51,25.5,muskmelon
81,27,38,23.23,58.4,7.46,172.64,coffee
44,66,50,32.46,93.86,6.58,154.57,papaya
13,7,7,23.51,92.87,7.12,118.94,orange
61,63,45,35.63,92.05,6.81,126.96,papaya
47,80,86,21.78,19.23,7.02,55.97,chickpea
72,47,42,26.34,75.28,6.5,156.67,jute
20,52,25,27.54,86.62,6.16,26.08,mungbean
20,11,7,28.91,90.99,6.91,104.8,orange
20,67,21,22.44,53.41,6.05,135.55,pigeonpeas
90,36,35,24.53,84.57,6.65,345.58,rice
18,5,44,23.76,84.16,6.79,97.84,pomegranate
23,48,19,25.4,49.16,6.5,28.1,mothbeans
75,49,38,25.5,83.4,6.45,173.71,jute
29,72,19,21.65,61.97,7.13,43.68,lentil
82,47,33,26.74,83.72,6.6,189.15,jute
37,54,26,30.94,62.54,7.4,60.27,blackgram
88,48,50,24.12,75.5,6.93,161.5,jute
32,47,78,20.7,22.88,6.63,87.45,chickpea
36,62,72,18.33,12.49,7.23,81.24,chickpea
20,69,19,22.98,17.2,5.55,108.45,kidneybeans
48,52,55,31.38,91.59,6.89,165.3,papaya
28,28,38,31.18,48.78,5.82,93.13,mango
